Country,Dish,Description,Recipe,Latitude,Longitude
Afghanistan,Kabuli Pulao,"A hearty meat, vegetable, and chickpea stew often served with naan bread","Ingredients: 500g basmati rice, 1kg lamb, 2 large carrots, 100g raisins, 50g slivered almonds, 1 large onion, 4 cloves garlic, 1 tsp cumin, 1 tsp cardamom, 1 tsp cinnamon, 1/2 tsp saffron, 100g yogurt, 4 tbsp vegetable oil, salt and pepper
 Instructions: Cook rice and set aside
 Sauté onions and garlic in oil, add lamb and brown
 Add spices, yogurt, and water, simmer until lamb is tender
 Julienne carrots, fry until soft, add raisins and almonds
 Layer rice and lamb, top with carrot mix, bake 30 mins
",33.93911,67.709953
Albania,Tavë Kosi,"Savory pastries filled with spinach and cheese, layered in thin, flaky dough","Ingredients: 1kg lamb, 2 cups yogurt, 4 eggs, 4 tbsp butter, 2 tbsp flour, 2 cloves garlic, salt, black pepper, oregano
 Instructions: Brown lamb in butter, season with salt, pepper, oregano
 Transfer to baking dish
 Mix yogurt, eggs, flour, and garlic, pour over lamb
 Bake at 180°C for 45 mins until golden
",41.153332,20.168331
Algeria,Couscous,"A rich, slow-cooked stew of lamb, vegetables, and a mix of spices","Ingredients: 500g couscous, 500g lamb or chicken, 2 onions, 4 carrots, 2 zucchinis, 1 can chickpeas, 1 tbsp tomato paste, 1 tsp harissa, 1 tsp cumin, 1 tsp paprika, 1/2 tsp turmeric, salt, olive oil
 Instructions: Steam couscous and set aside
 Sauté onions, add meat and brown
 Add spices, tomato paste, and water, simmer until meat is tender
 Add carrots, zucchinis, and chickpeas, cook until vegetables are tender
 Serve meat and vegetables over couscous
",28.033886,1.659626
Andorra,Escudella,"A traditional stew of meat, vegetables, and sometimes pasta, often cooked slowly over a wood fire","Ingredients: 500g pork ribs, 500g veal, 500g chicken, 200g sausage, 2 potatoes, 1 large carrot, 1 leek, 1 turnip, 1 cabbage, 200g chickpeas, 2 cloves garlic, 1 onion, salt, black pepper
 Instructions: Soak chickpeas overnight
 Boil all meats in water, skim off foam
 Add chickpeas, simmer 1 hour
 Add chopped vegetables, cook until tender
 Season with salt and pepper
 Serve hot
",42.546245,1.521801
Angola,Muamba de Galinha,"A flavorful stew made with chicken, okra, and palm oil, served with rice or funge","Ingredients: 1 whole chicken, 1 onion, 2 tomatoes, 1 tbsp tomato paste, 4 cloves garlic, 1 tsp paprika, 1 tsp chili powder, 200g palm oil, 200g okra, salt, pepper
 Instructions: Cut chicken into pieces, season with salt, pepper, paprika
 Sauté onions and garlic in palm oil, add chicken and brown
 Add tomatoes, tomato paste, chili powder, and water, simmer until chicken is tender
 Add okra, cook until soft
 Serve with rice or funge
",-11.202692,17.873887
Antigua and Barbuda,Fungee and Pepperpot,"A hearty, spicy soup made with leafy greens, okra, and often seafood or meat","Ingredients: 200g cornmeal, 1 liter water, 200g spinach, 200g okra, 2 eggplants, 1 large onion, 2 cloves garlic, 200g salted meat, 200g pig's tail, 200g fresh beef, 1 tbsp thyme, salt, pepper
 Instructions: Boil salted meat and pig's tail, discard water
 Add fresh beef, cook until tender
 Sauté onions and garlic, add vegetables, cook until soft
 Add meat, season with thyme, salt, pepper
 For fungee, boil water, gradually add cornmeal, stir until thick
 Serve fungee with pepperpot
",17.060816,-61.796428
Argentina,Asado,"A popular barbecue of various meats, typically including beef ribs and sausages, grilled slowly over an open fire","Ingredients: 1kg beef ribs, 1kg chorizo, 1kg morcilla, 1kg chinchulines, coarse salt
 Instructions: Prepare the grill with hot coals
 Season meats with coarse salt
 Place ribs on the grill, cook slowly over low heat for 2-3 hours
 Add chorizo, morcilla, and chinchulines, cook until done
 Serve with chimichurri sauce
",-38.416097,-63.616672
Armenia,Harissa,"Spicy sausages made with ground beef or lamb, seasoned with garlic and a mix of spices","Ingredients: 1 cup hulled wheat, 1kg chicken, 2 onions, 2 tbsp butter, salt, pepper
 Instructions: Soak wheat overnight
 Cook chicken in water until tender, shred meat
 Sauté onions in butter, add shredded chicken
 Add soaked wheat to chicken broth, simmer until thick and creamy
 Mix in chicken and onions, season with salt and pepper
 Serve hot
",40.069099,45.038189
Australia,Meat Pie,"A classic British-origin meat pie filled with minced meat, gravy, and vegetables","Ingredients: 500g minced beef, 1 onion, 1 carrot, 1 celery stick, 2 cloves garlic, 1 tbsp flour, 1 cup beef stock, 1 tbsp Worcestershire sauce, 2 sheets puff pastry, 1 egg
 Instructions: Sauté onions, garlic, carrot, and celery in oil until soft
 Add minced beef, cook until browned
 Stir in flour, cook for 1 minute
 Add beef stock and Worcestershire sauce, simmer until thickened
 Line pie dish with puff pastry, add filling, cover with pastry lid
 Brush with beaten egg, bake at 200°C for 25-30 mins until golden
",-25.274398,133.775136
Austria,Wiener Schnitzel,"A breaded and fried veal cutlet, traditionally served with potato salad or lingonberry sauce","Ingredients: 4 veal cutlets, 1 cup flour, 2 eggs, 1 cup breadcrumbs, salt, pepper, butter or oil for frying
 Instructions: Pound veal cutlets thin, season with salt and pepper
 Dredge in flour, dip in beaten eggs, coat with breadcrumbs
 Heat butter or oil in a pan, fry cutlets until golden brown on both sides
 Drain on paper towels, serve with lemon wedges
",47.516231,14.550072
Azerbaijan,Plov,"A rice pilaf made with saffron, layered with meat, dried fruits, and aromatic herbs","Ingredients: 2 cups basmati rice, 1kg lamb, 2 onions, 2 carrots, 1 cup dried apricots, 1 cup raisins, 1/2 cup slivered almonds, 1 tsp saffron, 4 tbsp butter, salt, pepper
 Instructions: Cook rice and set aside
 Sauté onions in butter, add lamb and brown
 Add carrots, apricots, raisins, almonds, and saffron, simmer until lamb is tender
 Layer rice and lamb mixture, bake at 180°C for 30 mins
",40.143105,47.576927
